p_id professor student hasPosition inPhase yearsInProgram
p_id_215 professor_0 student_1 hasPosition_0 inPhase_0 yearsInProgram_0
p_id_216 professor_1 student_0 hasPosition_Faculty inPhase_0 yearsInProgram_0
p_id_217 professor_0 student_1 hasPosition_0 inPhase_Pre_Quals yearsInProgram_Year_1
p_id_218 professor_0 student_1 hasPosition_0 inPhase_0 yearsInProgram_0
p_id_219 professor_0 student_1 hasPosition_0 inPhase_Pre_Quals yearsInProgram_Year_3
p_id_220 professor_1 student_0 hasPosition_Faculty_adj inPhase_0 yearsInProgram_0
p_id_221 professor_0 student_1 hasPosition_0 inPhase_0 yearsInProgram_0
p_id_222 professor_1 student_0 hasPosition_Faculty inPhase_0 yearsInProgram_0
p_id_223 professor_0 student_1 hasPosition_0 inPhase_Post_Generals yearsInProgram_Year_5
p_id_224 professor_0 student_1 hasPosition_0 inPhase_Pre_Quals yearsInProgram_Year_4
p_id_225 professor_0 student_1 hasPosition_0 inPhase_0 yearsInProgram_0
p_id_226 professor_0 student_1 hasPosition_0 inPhase_0 yearsInProgram_0
p_id_227 professor_0 student_1 hasPosition_0 inPhase_Pre_Quals yearsInProgram_Year_4
p_id_228 professor_0 student_1 hasPosition_0 inPhase_0 yearsInProgram_0
p_id_229 professor_0 student_1 hasPosition_0 inPhase_Post_Generals yearsInProgram_Year_6
p_id_230 professor_0 student_1 hasPosition_0 inPhase_Pre_Quals yearsInProgram_Year_3
p_id_231 professor_0 student_1 hasPosition_0 inPhase_Pre_Quals yearsInProgram_Year_3
p_id_232 professor_1 student_0 hasPosition_0 inPhase_0 yearsInProgram_0
p_id_233 professor_0 student_1 hasPosition_0 inPhase_Post_Generals yearsInProgram_Year_4
p_id_234 professor_1 student_0 hasPosition_0 inPhase_0 yearsInProgram_0
p_id_235 professor_1 student_0 hasPosition_Faculty inPhase_0 yearsInProgram_0
p_id_236 professor_0 student_1 hasPosition_0 inPhase_Post_Generals yearsInProgram_Year_12
p_id_237 professor_1 student_0 hasPosition_Faculty_eme inPhase_0 yearsInProgram_0
p_id_238 professor_0 student_1 hasPosition_0 inPhase_Pre_Quals yearsInProgram_Year_4
p_id_239 professor_0 student_1 hasPosition_0 inPhase_Pre_Quals yearsInProgram_Year_1
p_id_240 professor_1 student_0 hasPosition_Faculty inPhase_0 yearsInProgram_0
p_id_241 professor_0 student_1 hasPosition_0 inPhase_Post_Generals yearsInProgram_Year_6
p_id_242 professor_0 student_1 hasPosition_0 inPhase_Post_Generals yearsInProgram_Year_10
p_id_243 professor_0 student_1 hasPosition_0 inPhase_Pre_Quals yearsInProgram_Year_3
p_id_244 professor_0 student_1 hasPosition_0 inPhase_Pre_Quals yearsInProgram_Year_2
p_id_245 professor_0 student_1 hasPosition_0 inPhase_Pre_Quals yearsInProgram_Year_3
p_id_246 professor_0 student_1 hasPosition_0 inPhase_Pre_Quals yearsInProgram_Year_2
p_id_247 professor_0 student_1 hasPosition_0 inPhase_Pre_Quals yearsInProgram_Year_4
p_id_248 professor_0 student_1 hasPosition_0 inPhase_0 yearsInProgram_0
p_id_249 professor_1 student_0 hasPosition_Faculty inPhase_0 yearsInProgram_0
p_id_250 professor_1 student_0 hasPosition_Faculty inPhase_0 yearsInProgram_0
p_id_251 professor_0 student_1 hasPosition_0 inPhase_0 yearsInProgram_0
p_id_252 professor_0 student_1 hasPosition_0 inPhase_Pre_Quals yearsInProgram_Year_1
p_id_253 professor_0 student_1 hasPosition_0 inPhase_0 yearsInProgram_0
p_id_254 professor_0 student_1 hasPosition_0 inPhase_0 yearsInProgram_0
p_id_255 professor_0 student_1 hasPosition_0 inPhase_Pre_Quals yearsInProgram_Year_2
p_id_256 professor_0 student_1 hasPosition_0 inPhase_Post_Generals yearsInProgram_Year_12
p_id_257 professor_0 student_1 hasPosition_0 inPhase_Post_Generals yearsInProgram_Year_4
p_id_258 professor_0 student_1 hasPosition_0 inPhase_Post_Generals yearsInProgram_Year_5
p_id_259 professor_1 student_0 hasPosition_Faculty inPhase_0 yearsInProgram_0
p_id_260 professor_0 student_1 hasPosition_0 inPhase_Pre_Quals yearsInProgram_Year_2
p_id_261 professor_0 student_1 hasPosition_0 inPhase_0 yearsInProgram_0
p_id_262 professor_0 student_1 hasPosition_0 inPhase_Post_Generals yearsInProgram_Year_6
p_id_263 professor_0 student_1 hasPosition_0 inPhase_Pre_Quals yearsInProgram_Year_3
p_id_264 professor_1 student_0 hasPosition_Faculty inPhase_0 yearsInProgram_0
p_id_265 professor_0 student_1 hasPosition_0 inPhase_Pre_Quals yearsInProgram_Year_1
p_id_266 professor_0 student_1 hasPosition_0 inPhase_Pre_Quals yearsInProgram_Year_1
p_id_267 professor_0 student_1 hasPosition_0 inPhase_Pre_Quals yearsInProgram_Year_3
p_id_268 professor_0 student_1 hasPosition_0 inPhase_Post_Generals yearsInProgram_Year_7
p_id_269 professor_0 student_1 hasPosition_0 inPhase_0 yearsInProgram_0
p_id_270 professor_0 student_1 hasPosition_0 inPhase_Pre_Quals yearsInProgram_Year_3
p_id_271 professor_0 student_1 hasPosition_0 inPhase_0 yearsInProgram_0
p_id_272 professor_0 student_1 hasPosition_0 inPhase_Pre_Quals yearsInProgram_Year_5
p_id_273 professor_0 student_1 hasPosition_0 inPhase_Pre_Quals yearsInProgram_Year_4
p_id_274 professor_0 student_1 hasPosition_0 inPhase_0 yearsInProgram_0
p_id_275 professor_0 student_1 hasPosition_0 inPhase_Pre_Quals yearsInProgram_Year_5
p_id_276 professor_0 student_1 hasPosition_0 inPhase_Pre_Quals yearsInProgram_Year_2
p_id_277 professor_0 student_1 hasPosition_0 inPhase_Pre_Quals yearsInProgram_Year_5
p_id_278 professor_0 student_1 hasPosition_0 inPhase_Pre_Quals yearsInProgram_Year_4
